onet_soc_code,synonyms,tasks
29-1216.00,"Internal Medicine Physician (IM Physician), Internist, Medical Doctor (MD), Physician","Diagnose and provide nonsurgical treatment for a wide range of diseases and injuries of internal organ systems. Provide care mainly for adults and adolescents, and are based primarily in an outpatient care setting."
29-1299.01,"Doctor (Dr), Naturopathic Doctor, Naturopathic Medicine Doctor, Physician","Diagnose, treat, and help prevent diseases using a system of practice that is based on the natural healing capacity of individuals. May use physiological, psychological or mechanical methods. May also use natural medicines, prescription or legend drugs, foods, herbs, or other natural remedies."
17-3013.00,"Design Drafter, Drafter, Mechanical Designer, Mechanical Drafter","Prepare detailed working diagrams of machinery and mechanical devices, including dimensions, fastening methods, and other engineering information."
49-9021.00,"HVAC Mechanic (Heating, Ventilation, and Air Conditioning Mechanic); Refrigeration Mechanic; Refrigeration Technician (Refrigeration Tech); Service Technician (Service Tech)","Install or repair heating, central air conditioning, HVAC, or refrigeration systems, including oil burners, hot-air furnaces, and heating stoves."
25-9049.00,"We're sorry, the requested page could not be found. Please try the following:",
19-1021.00,"Analytical Research Chemist, Biochemist, Biophysics Researcher, Scientist","Study the chemical composition or physical principles of living cells and organisms, their electrical and mechanical energy, and related phenomena. May conduct research to further understanding of the complex chemical combinations and reactions involved in metabolism, reproduction, growth, and heredity. May determine the effects of foods, drugs, serums, hormones, and other substances on tissues and vital processes of living organisms."
27-1021.00,"Design Engineer, Designer, Industrial Designer, Product Designer","Design and develop manufactured products, such as cars, home appliances, and children's toys. Combine artistic talent with research on product use, marketing, and materials to create the most functional and appealing product design."
39-4021.00,"Funeral Assistant, Funeral Attendant, Funeral Director, Funeral Home Assistant","Perform a variety of tasks during funeral, such as placing casket in parlor or chapel prior to service, arranging floral offerings or lights around casket, directing or escorting mourners, closing casket, and issuing and storing funeral equipment."
25-1067.00,"Assistant Professor, Professor, Sociology Instructor, Sociology Professor",Teach courses in sociology. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.
47-2022.00,"Mason, Stone Derrickman, Stone Mason, Stone Setter","Build stone structures, such as piers, walls, and abutments. Lay walks, curbstones, or special types of masonry for vats, tanks, and floors."
25-1022.00,"Instructor, Mathematics Instructor (Math Instructor), Mathematics Professor, Professor","Teach courses pertaining to mathematical concepts, statistics, and actuarial science and to the application of original and standardized mathematical techniques in solving specific problems and situations. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research."
33-9099.00,"We're sorry, the requested page could not be found. Please try the following:",
29-1229.04,"MD (Medical Doctor), Pain Management Physician, Physiatrist, Physician","Diagnose and treat disorders requiring physiotherapy to provide physical, mental, and occupational rehabilitation."
47-1011.00,"Construction Foreman, Construction Supervisor, Electrical Supervisor, Roustabout Field Supervisor",Directly supervise and coordinate activities of construction or extraction workers.
13-1011.00,"Agent, Booking Agent, Talent Agent, Theatrical Agent","Represent and promote artists, performers, and athletes in dealings with current or prospective employers. May handle contract negotiation and other business matters for clients."
41-9099.00,"We're sorry, the requested page could not be found. Please try the following:",
25-2011.00,"Montessori Preschool Teacher, Pre-Kindergarten Teacher (Pre-K Teacher), Teacher, Toddler Teacher","Instruct preschool-aged students, following curricula or lesson plans, in activities designed to promote social, physical, and intellectual growth."
15-1299.07,,"Maintain and support distributed and decentralized blockchain-based networks or block-chain applications such as cryptocurrency exchange, payment processing, document sharing, and digital voting. Design and deploy secure block-chain design patterns and solutions over geographically distributed networks using advanced technologies. May assist with infrastructure setup and testing for application transparency and security."
